r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,fibra,acido_folico,calcio,hierro,indice_glicemico,carga_glicemica,azucar,sodio
3,Camote cocido,0.3,taza,69,69,73,1.1,0.2,16.8,1.3,7.6,14.4,0.4,,,,8.9
3,Camote en dulce,0.2,taza,52,52,71,0.4,1.7,14.5,1.2,5.9,13.4,0.6,,,,36.6
3,Camote largo,0.25,pieza,75,59,73,0.8,0.5,16.6,1.7,8.2,25.2,1.4,,,,5.9
3,Camote poblano (dulce),0.75,pieza,45,45,62,0.4,1.5,12.6,1.1,5.1,11.6,0.5,,,,31.7
3,Canelones,4,pieza,20,20,68,1.9,0.1,14.6,0.4,5,5.2,0.4,,,,0.4
3,Cáscara de papa cruda,2.5,taza,125,125,73,3.2,0.1,15.6,3.1,21.3,37.5,4.1,,,,12.5
3,Cereal con avena con maple,0.3,taza,27,27,65,4.6,1.9,17.6,4.1,13.8,15.5,1.4,,,,0.9
3,Espagueti con espinacas cocido,0.3,taza,47,47,61,2.1,0.3,12.2,0,5.7,14,0.5,,,,6.7
3,Espagueti crudo,20,g,20,20,70,2.9,0.3,15,0.1,11.4,8,0.7,,,,1.6
3,Espagueto integral cocido,0.3,taza,46,46,57,2.5,0.3,12.3,2.1,2.3,6.9,0.5,,,,1.3
3,Espagueti integral crudo,20,g,20,20,70,2.9,0.3,15,0.1,11.4,8,0.7,,,,1.6
3,Espaguetti con espinacas cocid,0.3,taza,47,47,61,2.1,0.3,12.2,0,5.7,14,0.5,,,,6.7
3,Espaguetti crudo,20,g,20,20,70,2.9,0.3,15,0.1,11.4,8,0.7,,,,1.6
3,Fideo cocido,0.5,taza,20,20,74,2.5,0.2,15,0.1,5,5.4,0.3,,,,0.4
3,Fusili crudo,20,g,20,20,70,2.9,0.3,15,0.1,11.4,8,0.7,,,,1.6
3,Galleta barras de higo,1,pieza,16,16,56,0.6,1.2,11.3,0.7,2,10,0.5,,,,56
3,Galleta dulce,2,pieza,16,16,64,1.1,1.7,10.7,0.7,1.1,3.5,0.3,,,,48.5
3,Galleta dulce sin relleno,2,pieza,16,16,64,1.5,1.7,10.7,0.7,1.1,3.5,0.3,,,,48.5
3,Galleta salada,4,pieza,16,16,69,1.4,2.1,11.2,0,1.1,7.8,0.3,,,,176
3,Galleta salada molida,2.5,cucharada,15,15,65,1.3,2,10.5,0,1.1,7.4,0.2,,,,165
3,Harina de arroz refinada,2,cucharada,20,20,75,1.2,0.3,16.3,0.5,0.9,2,0.1,,,,0
3,Harina de centeno integral,2.5,cucharada,20,20,65,2.8,0.5,13.8,4.5,12,11.3,1.3,,,,0.2
3,Harina de maíz,2.5,cucharada,18,18,65,1.7,0.7,13.6,1.7,4.2,25.2,1.3,,,,0.9
3,Harina de maíz nixtamalizada,2.5,cucharada,18,18,65,1.7,0.7,13.6,1.7,4.2,25.2,1.3,,,,0.9
3,Harina de papa,2,cucharada,19,19,66,1.5,0.1,15,1.1,9.6,6.3,3.2,,,,6.5
3,"Harina de trigo para
panificación",2,cucharada,17,17,62,2.1,0.3,12.4,0.4,5,2.6,0.8,,,,0.4
3,Harina de trigo para pasteleria,2.5,cucharada,17,17,62,1.4,0.1,13.3,0.3,3.3,2.3,1.2,,,,0.3
3,Harina integral de centeno,2.5,cucharada,20,20,65,2.8,0.5,13.8,4.5,12,11.3,1.3,,,,0.2
3,Hojuelas de avena,0.3,taza,26,26,65,4.6,1.9,17.5,4.1,13.6,15.3,1.4,,,,0.9
3,Hojuelas de avena con maple,0.3,taza,26,26,65,4.6,1.9,17.5,4.1,13.6,15.3,1.4,,,,0.9
3,"Hojuelas de cereales con frutas
secas",0.3,taza,18,18,70,1.3,1,14,1,33.3,83.3,1.5,,,,110
3,Hojuelas de maíz azucaradas,0.3,taza,13,13,52,0.7,0.1,12,0.3,106.5,0,1.9,,,,75.6
3,"Hojuelas de maíz y trigo con
frutas y nueces",0.3,taza,18,18,70,1.3,1,14,1,33.3,83.3,1.5,,,,110
3,Hojuelas de papa para puré,20,g,20,20,71,1.7,0.1,16.2,1.3,9.2,5.4,0.2,,,,20.8
3,Hojuelas de trigo con miel,0.5,taza,18,18,62,1.6,0.4,14.3,1.9,11.9,8.1,2.8,,,,101.3
3,"Hojuelas fortificadas de trigo
entero. almeras. nueces y
miel",0.25,taza,15,15,58,1.5,1.3,11.4,1.3,24.9,39.9,1.7,,,,75.5
3,Lasagna cruda,20,g,20,20,68,1.9,0.1,14.6,0.4,5,5.2,0.4,,,,0.4
3,Lasaña cocida,20,g,20,20,68,1.9,0.1,14.6,0.4,5,5.2,0.4,,,,0.4
3,Macarrón cocido,0.3,taza,47,47,66,2.2,0.3,13.2,0.6,3.3,3.3,0.7,,,,0.3
